Id,MSSubClass,MSZoning,LotFrontage,LotArea,Alley,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallCond,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterCond,Foundation,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,Heating,HeatingQC,CentralAir,Electrical,2ndFlrSF,LowQualFinSF,BsmtFullBath,BsmtHalfBath,HalfBath,BedroomAbvGr,KitchenAbvGr,Functional,Fireplaces,FireplaceQu,GarageType,GarageFinish,GarageCars,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,QualSF,TotalBath,meanRmsSF
11,20,RL,4.2626798770413155,9.32375833901174,NaN,Reg,Lvl,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,1965,Hip,CompShg,HdBoard,HdBoard,None,0.0,3,CBlock,3,No,Rec,906,Unf,0,134,GasA,5,Y,SBrkr,0,0,1,0,0,3,1,Typ,0,4,Detchd,Unf,1,3,3,Y,0,0,0,0,0,NaN,NaN,0,2,2008,WD,Normal,11.771443882099637,9.249657234353133,2.0,5.342334251964811
12,60,RL,4.454347296253507,9.386392315756542,NaN,IR1,Lvl,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,5,2006,Hip,CompShg,WdShing,Wd Shng,Stone,286.0,3,PConc,3,No,GLQ,998,Unf,0,177,GasA,5,Y,SBrkr,1142,0,1,0,0,4,1,Typ,2,4,BuiltIn,Fin,3,3,3,Y,147,21,0,0,0,NaN,NaN,0,7,2006,New,Partial,12.75130259456002,10.357488824304358,4.0,5.357871897304627
13,20,RL,4.248495242049359,9.470317173335742,NaN,IR2,Lvl,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,6,1962,Hip,CompShg,HdBoard,Plywood,None,0.0,3,CBlock,3,No,ALQ,737,Unf,0,175,GasA,3,Y,SBrkr,0,0,1,0,0,2,1,Typ,0,4,Detchd,Unf,1,3,3,Y,140,0,0,0,176,NaN,NaN,0,9,2008,WD,Normal,11.87757552297847,9.118334726180159,2.0,5.43372200355424
14,20,RL,4.5217885770490405,9.273596821611198,NaN,IR1,Lvl,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,2007,Gable,CompShg,VinylSd,VinylSd,Stone,306.0,3,PConc,3,Av,Unf,0,Unf,0,1494,GasA,5,Y,SBrkr,0,0,0,0,0,3,1,Typ,1,4,Attchd,RFn,3,3,3,Y,160,33,0,0,0,NaN,NaN,0,8,2007,New,Partial,12.540761149388421,9.94831750445392,2.0,5.367976682578148
15,20,RL,4.248495242049359,9.298442820197728,NaN,IR1,Lvl,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,1960,Hip,CompShg,MetalSd,MetalSd,BrkFace,212.0,3,CBlock,3,No,BLQ,733,Unf,0,520,GasA,3,Y,SBrkr,0,0,1,0,1,2,1,Typ,1,2,Attchd,RFn,1,3,3,Y,0,213,176,0,0,GdWo,NaN,0,5,2008,WD,Normal,11.964007453736912,9.61826910952232,2.5,5.527840524826286
16,45,RM,3.9512437185814275,8.71948076085107,NaN,Reg,Lvl,Corner,Gtl,BrkSide,Norm,Norm,1Fam,1.5Unf,8,2001,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,BrkTil,3,No,Unf,0,Unf,0,832,GasA,5,Y,FuseA,0,0,0,0,0,2,1,Typ,0,4,Detchd,Unf,2,3,3,Y,48,112,0,0,0,GdPrv,NaN,0,7,2007,WD,Normal,11.790564777297387,9.37610901542907,1.0,5.146331009550155
17,20,RL,4.248495242049359,9.32741204356202,NaN,IR1,Lvl,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,7,1970,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,180.0,3,CBlock,3,No,ALQ,578,Unf,0,426,GasA,5,Y,SBrkr,0,0,1,0,0,2,1,Typ,1,3,Attchd,Fin,2,3,3,Y,0,0,0,0,0,NaN,Shed,700,3,2010,WD,Normal,11.91170829631447,9.396736947923277,2.0,5.307277107919509
18,90,RL,4.290459441148391,9.286560397887591,NaN,Reg,Lvl,Inside,Gtl,Sawyer,Norm,Norm,Duplex,1Story,5,1967,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,Slab,3,No,Unf,0,Unf,0,0,GasA,3,Y,SBrkr,0,0,0,0,0,2,2,Typ,0,4,CarPort,Unf,2,3,3,Y,0,0,0,0,0,NaN,Shed,500,10,2006,WD,Normal,11.407576060361786,8.553525120663627,2.0,5.37989735354046
19,20,RL,4.204692619390966,9.524859098381523,NaN,Reg,Lvl,Inside,Gtl,SawyerW,RRAe,Norm,1Fam,1Story,5,2004,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,PConc,3,No,GLQ,646,Unf,0,468,GasA,5,Y,SBrkr,0,0,1,0,1,3,1,Typ,0,4,Detchd,Unf,2,3,3,Y,0,102,0,0,0,NaN,NaN,0,6,2008,WD,Normal,11.976665770490767,9.318387276059317,2.5,5.2293244950610855
20,20,RL,4.2626798770413155,8.93075873555827,NaN,Reg,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,1965,Hip,CompShg,BrkFace,Plywood,None,0.0,3,CBlock,3,No,LwQ,504,Unf,0,525,GasA,3,Y,SBrkr,0,0,0,0,0,3,1,Min1,0,4,Attchd,Unf,1,3,3,Y,0,0,0,0,0,MnPrv,NaN,0,5,2009,COD,Abnorml,11.842236406331555,9.379323364330956,1.0,5.412389822807884
21,60,RL,4.624972813284271,9.562123369834488,NaN,IR1,Lvl,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,5,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,380.0,3,PConc,3,Av,Unf,0,Unf,0,1158,GasA,5,Y,SBrkr,1218,0,0,0,1,4,1,Typ,1,4,BuiltIn,RFn,3,3,3,Y,240,154,0,0,0,NaN,NaN,0,11,2006,New,Partial,12.692506186542177,10.249662564618726,3.5,5.579729825986222
22,45,RM,4.060443010546419,8.915969311373605,Grvl,Reg,Bnk,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Unf,7,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,PConc,3,No,Unf,0,Unf,0,637,GasA,5,Y,FuseF,0,0,0,0,0,3,1,Typ,1,4,Attchd,Unf,1,3,3,N,0,0,205,0,0,GdPrv,NaN,0,6,2007,WD,Normal,11.845109950883979,9.410501846898468,1.0,5.223952951259174
23,20,RL,4.330733340286331,9.184304357425342,NaN,Reg,Lvl,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,2002,Hip,CompShg,VinylSd,VinylSd,BrkFace,281.0,3,PConc,3,No,Unf,0,Unf,0,1777,GasA,5,Y,SBrkr,0,0,0,0,0,3,1,Typ,1,4,Attchd,RFn,2,3,3,Y,171,159,0,0,0,NaN,NaN,0,9,2008,WD,Normal,12.345838935721968,10.260357477464831,2.0,5.55074228911297
24,120,RM,3.8066624897703196,8.348774539791274,NaN,Reg,Lvl,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,1Story,7,1976,Gable,CompShg,CemntBd,CmentBd,None,0.0,3,PConc,3,No,GLQ,840,Unf,0,200,GasA,3,Y,SBrkr,0,0,1,0,0,3,1,Typ,1,3,Attchd,Unf,2,3,3,Y,100,110,0,0,0,NaN,NaN,0,6,2007,WD,Normal,11.774527900858468,9.259225769705994,2.0,5.179909135497735
25,20,RL,4.248495242049359,9.017604776833355,NaN,IR1,Lvl,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,8,2001,Gable,CompShg,Plywood,Plywood,None,0.0,4,CBlock,3,Mn,Rec,188,ALQ,668,204,GasA,5,Y,SBrkr,0,0,1,0,0,3,1,Typ,1,3,Attchd,Unf,1,3,3,Y,406,90,0,0,0,MnPrv,NaN,0,5,2010,WD,Normal,11.944714374881176,9.268703615273097,2.0,5.179909135497735
26,20,RL,4.709530201312334,9.56317796268366,NaN,Reg,Lvl,Corner,Gtl,NridgHt,Norm,Norm,1Fam,1Story,5,2007,Gable,CompShg,VinylSd,VinylSd,Stone,640.0,3,PConc,3,No,Unf,0,Unf,0,1566,GasA,5,Y,SBrkr,0,0,0,0,0,3,1,Typ,1,4,Attchd,RFn,3,3,3,Y,0,56,0,0,0,NaN,NaN,0,7,2009,WD,Normal,12.454107814022272,10.139705263337609,2.0,5.436214216682199
27,20,RL,4.110873864173311,8.881975184248867,NaN,Reg,Lvl,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,7,2000,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,CBlock,3,Mn,BLQ,234,Rec,486,180,GasA,3,Y,SBrkr,0,0,0,1,0,3,1,Typ,0,4,Detchd,Unf,2,3,3,Y,222,32,0,0,0,NaN,NaN,0,5,2010,WD,Normal,11.811554895830454,9.105090961257085,1.5,5.198497031265826
28,20,RL,4.59511985013459,9.348274558065496,NaN,Reg,Lvl,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,5,2008,Gable,CompShg,VinylSd,VinylSd,Stone,200.0,3,PConc,3,No,GLQ,1218,Unf,0,486,GasA,5,Y,SBrkr,0,0,1,0,0,3,1,Typ,1,4,Attchd,RFn,3,3,3,Y,0,50,0,0,0,NaN,NaN,0,5,2010,WD,Normal,12.631343648903034,10.213359107360162,3.0,5.49892312483688
29,20,RL,3.871201010907891,9.700269170029188,NaN,IR1,Lvl,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,1997,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,CBlock,3,Gd,BLQ,1277,Unf,0,207,GasA,3,Y,SBrkr,0,0,1,0,0,2,1,Typ,2,4,Attchd,RFn,1,3,3,Y,288,258,0,0,0,NaN,NaN,0,12,2006,WD,Normal,12.242891437918386,9.643485495857657,2.0,5.589742425278652
30,30,RM,4.110873864173311,8.752265313595721,NaN,IR1,Lvl,Inside,Gtl,BrkSide,Feedr,RRNn,1Fam,1Story,6,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,BrkTil,3,No,Unf,0,Unf,0,520,GasA,2,N,SBrkr,0,0,0,0,0,1,1,Typ,0,4,Detchd,Unf,1,2,3,Y,49,0,87,0,0,NaN,NaN,0,5,2008,WD,Normal,11.134603622683905,8.333510708982942,1.0,4.875197323201151
31,70,C (all),3.9318256327243257,9.04793908261736,Pave,Reg,Lvl,Inside,Gtl,IDOTRR,Feedr,Norm,1Fam,2Story,4,1950,Gambrel,CompShg,BrkFace,BrkFace,None,0.0,2,BrkTil,3,No,Unf,0,Unf,0,649,GasA,3,N,SBrkr,668,0,0,0,0,3,1,Typ,0,4,Detchd,Unf,1,3,2,N,0,54,172,0,0,MnPrv,NaN,0,7,2008,WD,Normal,10.596659732783579,8.970177815492379,1.0,5.395897694886901
32,20,RL,4.248495242049359,9.053101595549691,NaN,IR1,Lvl,CulDSac,Gtl,Sawyer,Norm,Norm,1Fam,1Story,6,2006,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,CBlock,3,No,Unf,0,Unf,0,1228,GasA,4,Y,SBrkr,0,0,0,0,1,3,1,Typ,0,4,Attchd,Unf,1,3,3,Y,0,65,0,0,0,MnPrv,NaN,0,6,2008,WD,Normal,11.914054519303125,9.415808631610384,1.5,5.326256735237278
33,20,RL,4.454347296253507,9.3101857069459,NaN,Reg,Lvl,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,PConc,3,Av,Unf,0,Unf,0,1234,GasA,5,Y,SBrkr,0,0,0,0,0,3,1,Typ,0,4,Attchd,RFn,2,3,3,Y,0,30,0,0,0,NaN,NaN,0,1,2008,WD,Normal,12.100161978566867,9.89065557372075,2.0,5.177762636149294
34,20,RL,4.2626798770413155,9.26416545867109,NaN,IR1,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,1959,Hip,CompShg,BrkFace,BrkFace,None,0.0,3,CBlock,3,No,Rec,1018,Unf,0,380,GasA,4,Y,SBrkr,0,0,0,1,1,4,1,Typ,1,4,Attchd,RFn,2,3,3,Y,0,38,0,0,0,NaN,NaN,0,4,2010,WD,Normal,12.016732516077072,9.648014489106362,2.0,5.650147258823569
35,120,RL,4.110873864173311,8.897545598709327,NaN,Reg,Lvl,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,5,2005,Hip,CompShg,MetalSd,MetalSd,BrkFace,246.0,3,PConc,3,No,GLQ,1153,Unf,0,408,GasA,5,Y,SBrkr,0,0,1,0,0,2,1,Typ,1,4,Attchd,Fin,2,3,3,Y,203,47,0,0,0,NaN,NaN,0,8,2007,WD,Normal,12.533579815765737,10.243489267499987,3.0,5.5651587731279655
36,60,RL,4.6913478822291435,9.504426892100957,NaN,Reg,Lvl,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,5,2005,Gable,CompShg,VinylSd,VinylSd,Stone,132.0,3,PConc,3,Av,Unf,0,Unf,0,1117,GasA,5,Y,SBrkr,1320,0,0,0,1,4,1,Typ,1,4,BuiltIn,Fin,3,3,3,Y,113,32,0,0,0,NaN,NaN,0,9,2006,WD,Normal,12.6410997921206,10.259517288372871,3.5,5.611098473054836
37,20,RL,4.727387818712341,9.292841593487926,NaN,Reg,Lvl,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,1995,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,PConc,3,No,Unf,0,Unf,0,1097,GasA,5,Y,SBrkr,0,0,0,0,1,3,1,Typ,0,4,Attchd,Unf,2,3,3,Y,392,64,0,0,0,NaN,NaN,0,6,2009,WD,Normal,11.884495917930655,9.30301070681749,1.5,5.214029550025447
38,20,RL,4.31748811353631,9.051696278536586,NaN,Reg,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,1990,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,650.0,3,CBlock,3,No,Rec,1213,Unf,0,84,GasA,4,Y,SBrkr,0,0,0,1,0,3,1,Typ,1,3,Attchd,Fin,2,3,3,Y,0,0,0,0,0,NaN,NaN,0,10,2009,WD,Normal,11.938199736300925,9.470471375340674,1.5,5.562218910334414
39,20,RL,4.23410650459726,8.977525200965243,NaN,Reg,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,7,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,CBlock,3,No,GLQ,731,Unf,0,326,GasA,3,Y,SBrkr,0,0,1,0,0,3,1,Typ,0,4,Detchd,Unf,1,3,3,Y,0,52,0,0,0,NaN,NaN,0,1,2010,WD,Abnorml,11.599112335481124,9.265869681768663,2.0,5.358471289367784
40,90,RL,4.189654742026425,8.706324840138741,NaN,Reg,Lvl,Inside,Gtl,Edwards,Norm,Norm,Duplex,1Story,5,1955,Gable,CompShg,AsbShng,Plywood,None,0.0,3,PConc,3,No,Unf,0,Unf,0,0,GasA,3,N,FuseP,0,0,0,0,0,2,2,Typ,0,4,Attchd,Unf,0,3,3,N,0,0,0,0,0,NaN,NaN,0,6,2008,WD,AdjLand,11.314486721293981,8.435766192720509,2.0,5.262690188904886
41,20,RL,4.442651256490317,9.066354521447801,NaN,Reg,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,1965,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,101.0,3,CBlock,3,No,Rec,643,Unf,0,445,GasA,5,Y,SBrkr,0,0,0,0,0,3,1,Typ,1,3,Attchd,RFn,2,3,3,Y,0,138,0,0,0,GdWo,NaN,0,12,2006,WD,Abnorml,11.982935344196433,9.580040123637605,2.0,5.401174751987744
42,20,RL,4.7535901911063645,9.735423867488873,NaN,Reg,Lvl,Inside,Gtl,Timber,Norm,Norm,1Fam,1Story,6,1959,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,CBlock,3,Gd,BLQ,967,Unf,0,383,GasA,4,Y,SBrkr,0,0,0,1,1,2,1,Typ,2,4,Attchd,RFn,1,3,3,P,0,104,0,0,0,NaN,NaN,0,7,2007,WD,Normal,12.04355959836804,9.502338118495565,2.0,5.585749407744609
43,85,RL,4.248495242049359,9.1248914101437,NaN,IR1,Lvl,CulDSac,Gtl,SawyerW,Norm,Norm,1Fam,SFoyer,7,1983,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,CBlock,3,Av,ALQ,747,LwQ,93,0,GasA,4,Y,SBrkr,0,0,1,0,0,2,1,Typ,0,4,Attchd,RFn,2,3,4,Y,240,0,0,0,0,MnPrv,NaN,0,12,2007,WD,Normal,11.87757552297847,9.061956366209925,2.0,5.180659323079804
44,20,RL,4.248495242049359,9.127067452782361,NaN,IR1,Lvl,CulDSac,Gtl,CollgCr,Norm,Norm,1Fam,1Story,6,1980,Hip,CompShg,VinylSd,VinylSd,None,0.0,3,CBlock,3,Av,LwQ,280,BLQ,491,167,GasA,3,Y,SBrkr,0,0,1,0,0,3,1,Typ,0,4,Detchd,Unf,1,3,3,Y,145,0,0,0,0,MnPrv,NaN,0,7,2008,WD,Normal,11.777218637129327,9.14644164612595,2.0,5.239628370199357
45,20,RL,4.2626798770413155,8.980423936374544,NaN,Reg,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,1959,Gable,CompShg,BrkFace,Wd Sdng,None,0.0,3,CBlock,3,No,ALQ,179,BLQ,506,465,GasA,5,Y,FuseA,0,0,1,0,0,3,1,Typ,0,4,Attchd,RFn,1,3,3,Y,0,0,0,0,0,NaN,NaN,0,5,2006,WD,Normal,11.856522261533737,9.350189267092581,2.0,5.260961580004268
46,120,RL,4.127134385045092,8.943636705909594,NaN,Reg,Lvl,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,5,2005,Hip,CompShg,MetalSd,MetalSd,BrkFace,412.0,3,PConc,3,No,GLQ,456,Unf,0,1296,GasA,5,Y,SBrkr,0,0,1,0,0,2,1,Typ,1,4,Attchd,RFn,2,3,3,Y,196,82,0,0,0,NaN,NaN,0,2,2010,WD,Normal,12.675766851909591,10.35891673868174,3.0,5.680172609017068
47,50,RL,3.8918202981106265,9.458995712459116,NaN,IR1,Lvl,CulDSac,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,5,2003,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,PConc,3,No,GLQ,1351,Unf,0,83,GasA,5,Y,SBrkr,631,0,1,0,1,1,1,Typ,1,5,Attchd,RFn,2,3,3,Y,168,43,0,0,198,NaN,NaN,0,8,2009,WD,Abnorml,12.387089184491993,10.129905736383995,2.5,5.883786533309793
48,20,FV,4.442651256490317,9.314430080500564,NaN,Reg,Lvl,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,5,2006,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,PConc,3,Av,GLQ,24,Unf,0,1632,GasA,5,Y,SBrkr,0,0,0,0,0,3,1,Typ,0,4,Attchd,RFn,3,3,3,Y,0,146,0,0,0,NaN,NaN,0,7,2007,WD,Normal,12.428019481065613,10.184786798018687,2.0,5.4704683301376145
49,190,RM,3.5263605246161616,8.402231172946555,NaN,Reg,Lvl,Inside,Gtl,OldTown,Norm,Norm,2fmCon,2Story,5,2008,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,BrkTil,3,No,Unf,0,Unf,0,736,GasA,4,Y,SBrkr,716,0,0,0,0,2,3,Typ,0,4,Attchd,Unf,0,3,3,N,0,0,102,0,0,NaN,NaN,0,6,2009,New,Partial,11.635151947212842,9.077151777732437,2.0,5.206750173022546
50,20,RL,4.204692619390966,8.954544488386723,NaN,Reg,Lvl,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,7,1966,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,CBlock,3,No,BLQ,763,Unf,0,192,GasA,5,Y,SBrkr,0,0,1,0,0,3,1,Typ,0,4,Attchd,Unf,1,3,3,Y,0,0,0,0,0,MnPrv,NaN,0,1,2007,WD,Normal,11.751950239425476,9.164401140034737,2.0,5.076214939742237
51,60,RL,4.248495242049359,9.537483513308878,NaN,IR2,Lvl,Corner,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,1997,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,PConc,3,Av,GLQ,182,Unf,0,612,GasA,4,Y,SBrkr,676,0,0,1,0,3,1,Typ,0,4,Attchd,Fin,2,3,3,Y,0,75,0,0,0,NaN,NaN,0,7,2007,WD,Normal,12.083910661257521,9.516721521860449,2.5,5.5053315359323625
52,50,RM,3.970291913552122,8.738895704934043,NaN,Reg,Lvl,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1.5Fin,6,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,PConc,3,No,Unf,0,Unf,0,816,GasA,3,Y,SBrkr,0,360,0,0,0,3,1,Typ,1,4,Detchd,Unf,2,3,3,Y,112,0,0,0,0,MnPrv,Shed,400,9,2006,WD,Normal,11.648338835562747,9.189423123720795,1.0,4.919980925828125
53,90,RM,4.709530201312334,9.044639916198465,NaN,IR2,Bnk,Corner,Mod,IDOTRR,RRNn,Norm,Duplex,1Story,5,1963,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,CBlock,3,Gd,LwQ,104,GLQ,712,0,GasA,3,N,SBrkr,0,0,1,0,0,2,1,Typ,0,4,CarPort,Unf,2,3,3,Y,106,0,0,0,0,NaN,NaN,0,5,2010,WD,Normal,11.608244735642321,9.007121989469242,2.0,5.101085197018328
